,UEC
935,1015.2
936,1013.5
937,1014.0
938,1013.0
939,1013.0
940,1013.0
941,1012.5
942,1012.5
943,1012.5
944,1012.5
945,1012.5
946,1012.5
947,1012.5
948,1012.5
949,1012.8
950,1012.8
951,1012.8
952,1012.7
953,1012.7
954,1012.7
955,1012.9
956,1012.9
957,1012.9
958,1013.2
959,1013.2
960,1013.2
961,1013.2
962,1013.2
963,1012.4
964,1012.4
965,1009.9
966,1010.2
967,1010.3
968,1010.3
969,1010.3
970,1010.4
971,1010.4
972,1012.8
973,1010.4
974,1010.4
975,1010.4
976,1010.7
977,1010.7
978,1012.1
979,1012.1
980,1012.1
981,1012.1
982,1012.1
983,1012.2
984,1012.2
985,1012.2
986,1012.2
987,1012.2
988,1011.4
989,1012.4
990,1011.2
991,1011.2
992,1010.0
993,1010.0
994,1010.0
995,1008.2
996,1007.6
997,1007.6
998,1007.6
999,1007.7
1000,1007.7
1001,1007.7
1002,1007.7
1003,1007.8
1004,1006.5
1005,1006.5
1006,1006.5
1007,1006.5
1008,1006.5
1009,1006.5
1010,1006.5
1011,1006.5
1012,1006.5
1013,1006.5
1014,1006.4
1015,1006.4
1016,1006.4
1017,1008.3
1018,1009.2
1019,1009.2
1020,1008.6
1021,1008.9
1022,1008.9
1023,1008.9
1024,1008.9
1025,1005.4
1026,1005.4
1027,1005.4
1028,1005.4
1029,1005.4
1030,1004.2
1031,1004.2
1032,1004.2
1033,1004.2
1034,1006.0
1035,1006.0
1036,1006.0
1037,1006.0
1038,1003.8
1039,1003.6
1040,1003.6
1041,1003.6
1042,1004.9
1043,1004.9
1044,1005.4
1045,1006.9
1046,1006.0
1047,1005.2
1048,1006.2
1049,1008.4
1050,1008.4
1051,1008.4
1052,1008.7
1053,1008.7
1054,1003.3
1055,1003.3
1056,1002.8
1057,1002.8
1058,1001.8
1059,1001.8
1060,1001.8
1061,1001.8
1062,999.8
1063,999.8
1064,999.8
1065,998.6
1066,998.6
1067,998.9
1068,998.9
1069,998.9
1070,1000.2
1071,1000.0
1072,1000.0
1073,1000.0
1074,1000.0
1075,1002.1
1076,1000.7
1077,999.7
1078,1001.4
1079,1002.0
1080,1002.0
1081,1002.0
1082,1002.0
1083,1002.0
1084,1002.0
1085,1002.0
1086,1002.0
1087,1002.0
1088,1003.6
1089,1003.4
1090,1003.4
1091,1003.4
1092,1003.4
1093,1004.3
1094,1004.3
1095,1004.3
1096,1004.3
1097,1002.0
1098,1000.4
1099,1000.4
1100,1000.4
1101,998.9
1102,996.6
1103,996.6
1104,996.6
1105,996.5
1106,996.5
1107,995.4
1108,997.0
1109,997.2
1110,997.5
1111,997.2
1112,997.1
1113,994.6
1114,994.6
1115,994.6
1116,994.6
1117,994.6
1118,994.6
1119,994.6
1120,994.6
1121,991.8
1122,987.5
1123,987.5
1124,987.5
1125,987.9
1126,987.9
1127,987.9
1128,989.0
1129,989.4
1130,989.4
1131,989.4
1132,989.5
1133,989.6
1134,989.6
1135,989.6
1136,989.6
1137,989.6
1138,987.8
1139,987.8
1140,987.8
1141,988.6
1142,987.4
1143,987.2
1144,989.5
1145,988.5
1146,988.5
1147,986.5
1148,981.0
1149,981.7
1150,981.7
1151,981.7
1152,984.8
1153,984.8
1154,985.2
1155,985.2
1156,984.8
1157,984.8
1158,982.7
1159,982.7
1160,982.7
1161,982.7
1162,983.4
1163,983.4
1164,983.4
1165,983.4
1166,983.4
1167,983.4
1168,983.4
1169,982.2
1170,981.8
1171,981.2
1172,981.2
1173,983.2
1174,983.2
1175,983.2
1176,983.0
1177,983.5
1178,984.4
1179,984.4
1180,984.4
1181,984.4
1182,984.4
1183,984.4
1184,985.5
1185,987.8
1186,987.8
1187,987.8
1188,988.4
1189,988.4
1190,988.0
1191,988.0
1192,988.0
1193,988.0
1194,984.6
1195,984.6
1196,984.6
1197,984.6
1198,986.0
1199,987.5
1200,986.4
1201,986.1
1202,986.1
1203,986.0
1204,988.6
1205,988.6
1206,990.4
1207,990.4
1208,990.4
1209,993.5
1210,993.5
1211,993.5
1212,993.5
1213,993.9
1214,993.4
1215,993.4
1216,993.4
1217,992.7
1218,992.7
1219,992.7
1220,992.7
1221,992.7
1222,995.4
1223,996.8
1224,996.8
1225,998.5
1226,999.8
1227,999.8
1228,999.8
1229,999.4
1230,999.4
1231,999.4
1232,999.4
1233,999.4
1234,999.4
1235,999.4
1236,999.4
1237,999.5
1238,999.5
1239,999.5
1240,1002.2
1241,1002.2
1242,1004.0
1243,1004.0
1244,1005.3
1245,1005.3
1246,1005.3
1247,1008.0
1248,1008.0
1249,1008.4
1250,1008.4
1251,1009.6
1252,1009.7
1253,1009.7
1254,1009.7
1255,1009.7
1256,1009.7
1257,1009.7
1258,1009.7
1259,1005.6
1260,1005.7
1261,1005.7
1262,1005.7
1263,1025.2
1264,1024.0
1265,1023.2
1266,1023.2
1267,1024.2
1268,1040.8
1269,1043.4
1270,1045.8
1271,1045.8
1272,1045.8
1273,1045.7
1274,1045.7
1275,1051.2
1276,1052.7
1277,1054.6
1278,1053.9
1279,1061.4
1280,1074.5
1281,1072.6
1282,1072.4
1283,1072.4
1284,1074.6
1285,1076.3
1286,1077.5
1287,1078.1
1288,1078.1
1289,1078.1
1290,1063.0
1291,1064.0
1292,1063.8
1293,1052.6
1294,1052.6
1295,1045.6
1296,1045.8
1297,1045.8
1298,1046.8
1299,1050.5
1300,1051.8
1301,1052.8
1302,1053.6
1303,1056.2
1304,1049.0
1305,1049.0
1306,1049.0
1307,1049.0
1308,1049.0
1309,1049.0
1310,1048.6
1311,1041.0
1312,1041.2
1313,1041.2
1314,1041.2
1315,1041.2
1316,1039.8
1317,1039.3
1318,1039.8
1319,1040.5
1320,1040.5
1321,1043.3
1322,1043.3
1323,1045.2
1324,1045.0
1325,1044.2
1326,1044.2
1327,1043.9
1328,1043.9
1329,1043.9
1330,1043.9
1331,1043.9
1332,1043.9
1333,1046.5
1334,1049.2
1335,1049.2
1336,1049.2
1337,1049.2
1338,1049.2
1339,1049.2
1340,1047.2
1341,1046.2
1342,1046.2
1343,1049.2
1344,1049.2
1345,1049.2
1346,1051.2
1347,1050.5
1348,1050.3
1349,1050.3
1350,1049.4
1351,1049.4
1352,1049.8
1353,1050.6
1354,1050.6
1355,1050.6
1356,1051.0
1357,1051.0
1358,1051.0
1359,1051.0
1360,1051.0
1361,1050.8
1362,1053.2
1363,1053.2
1364,1049.6
1365,1049.6
1366,1047.0
1367,1047.2
1368,1047.2
1369,1044.0
1370,1044.3
1371,1044.3
1372,1044.3
1373,1044.3
1374,1044.3
1375,1044.6
1376,1044.6
1377,1044.6
1378,1044.0
1379,1044.0
1380,1043.2
1381,1043.2
1382,1043.2
1383,1043.2
1384,1043.2
1385,1043.2
1386,1043.2
1387,1040.5
1388,1040.5
1389,1040.5
1390,1039.0
1391,1039.3
1392,1039.3
1393,1040.2
1394,1040.1
1395,1040.1
1396,1040.1
1397,1043.6
1398,1044.3
1399,1044.3
1400,1044.3
1401,1041.3
1402,1041.4
1403,1041.4
1404,1041.1
1405,1041.1
1406,1041.1
1407,1044.0
1408,1044.6
1409,1044.6
1410,1044.8
1411,1044.8
1412,1044.8
1413,1044.8
1414,1043.3
1415,1043.3
1416,1045.1
1417,1044.6
1418,1042.4
1419,1042.4
1420,1042.4
1421,1042.4
1422,1042.4
1423,1041.5
1424,1036.0
1425,1034.8
1426,1034.8
1427,1033.2
1428,1033.2
1429,1033.2
1430,1033.2
1431,1033.2
1432,1035.0
1433,1036.2
1434,1035.2
1435,1035.8
1436,1033.3
1437,1033.3
1438,1028.2
1439,1028.2
1440,1029.5
1441,1029.2
1442,1029.2
1443,1029.2
1444,1029.2
1445,1029.2
1446,1031.2
1447,1031.2
1448,1029.6
1449,1029.6
1450,1029.6
1451,1029.6
1452,1029.6
1453,1029.6
1454,1029.6
1455,1030.4
1456,1030.4
1457,1030.4
1458,1030.4
1459,1030.4
1460,1030.4
1461,1030.4
1462,1029.3
1463,1028.9
1464,1027.7
1465,1027.2
1466,1027.2
1467,1027.3
1468,1027.3
1469,1027.3
1470,1026.2
1471,1025.7
1472,1024.5
1473,1024.4
1474,1024.4
1475,1024.4
1476,1024.4
1477,1024.5
1478,1024.5
1479,1024.5
1480,1024.5
1481,1024.5
1482,1024.5
1483,1024.5
1484,1024.4
1485,1024.4
1486,1026.5
1487,1026.5
1488,1026.5
1489,1026.5
1490,1025.9
1491,1025.9
1492,1025.9
1493,1025.9
1494,1027.3
1495,1025.8
1496,1025.8
1497,1025.8
1498,1025.8
1499,1025.8
1500,1027.0
1501,1027.0
1502,1027.0
1503,1027.0
1504,1027.0
1505,1027.0
1506,1027.0
1507,1027.0
1508,1030.0
1509,1030.1
1510,1029.7
1511,1029.7
1512,1029.6
1513,1030.2
1514,1030.2
1515,1029.2
1516,1036.1
1517,1036.1
1518,1036.1
1519,1036.1
1520,1036.7
1521,1036.7
1522,1036.9
1523,1036.9
1524,1038.8
1525,1038.8
1526,1037.1
1527,1037.1
1528,1037.1
1529,1037.1
1530,1037.1
1531,1037.1
1532,1037.2
1533,1037.2
1534,1035.0
1535,1035.0
1536,1034.2
1537,1034.2
1538,1037.1
1539,1037.1
1540,1039.0
1541,1039.0
1542,1040.5
1543,1040.5
1544,1037.8
1545,1037.8
1546,1038.1
1547,1037.3
1548,1037.3
1549,1037.3
1550,1037.3
1551,1037.4
1552,1037.4
1553,1037.4
1554,1037.4
1555,1037.4
1556,1038.6
1557,1038.6
1558,1038.6
1559,1038.4
1560,1039.5
1561,1039.5
1562,1039.5
1563,1039.5
1564,1036.5
1565,1036.5
1566,1036.5
1567,1036.5
1568,1037.6
1569,1037.7
1570,1037.7
1571,1041.7
1572,1041.7
1573,1040.5
1574,1039.2
1575,1040.2
1576,1040.8
1577,1040.8
1578,1039.8
1579,1039.3
1580,1039.2
1581,1039.2
1582,1039.2
1583,1039.2
1584,1039.6
1585,1039.0
1586,1039.0
1587,1039.5
1588,1038.9
1589,1038.9
1590,1038.9
1591,1037.0
1592,1037.0
1593,1037.0
1594,1033.1
1595,1033.0
1596,1033.0
1597,1030.5
1598,1033.0
1599,1031.5
1600,1031.5
1601,1031.5
1602,1039.0
1603,1039.0
1604,1040.3
1605,1040.3
1606,1040.3
1607,1041.1
1608,1041.1
1609,1041.1
1610,1039.6
1611,1039.9
1612,1039.9
1613,1039.5
1614,1039.5
1615,1039.5
1616,1039.5
1617,1039.5
1618,1039.5
1619,1038.0
1620,1038.0
1621,1038.3
1622,1037.8
1623,1039.3
1624,1039.3
1625,1039.3
1626,1039.3
1627,1039.0
1628,1039.0
1629,1039.6
1630,1039.6
1631,1035.8
1632,1035.8
1633,1036.5
1634,1037.0
1635,1037.0
1636,1036.8
1637,1038.2
1638,1038.2
1639,1038.2
1640,1035.0
1641,1035.0
1642,1035.0
1643,1032.8
1644,1033.1
1645,1033.1
1646,1033.1
1647,1033.1
1648,1033.1
1649,1034.1
1650,1034.1
1651,1031.5
1652,1031.5
1653,1032.2
1654,1031.3
1655,1031.3
1656,1031.3
1657,1031.3
1658,1031.3
1659,1030.6
1660,1030.6
1661,1030.6
1662,1030.6
1663,1030.6
1664,1030.6
1665,1031.1
1666,1031.1
1667,1031.5
1668,1033.2
1669,1033.2
1670,1033.2
1671,1033.0
1672,1033.0
1673,1031.0
1674,1031.0
1675,1034.0
1676,1034.0
1677,1034.0
1678,1034.0
1679,1034.0
1680,1034.0
1681,1034.0
1682,1034.0
1683,1033.2
1684,1033.2
1685,1033.2
1686,1029.1
1687,1029.6
1688,1029.6
1689,1030.1
1690,1030.5
1691,1032.3
1692,1032.3
1693,1029.8
1694,1029.6
1695,1029.6
1696,1029.6
1697,1029.2
1698,1025.5
1699,1025.0
1700,1027.0
1701,1023.2
1702,1023.2
1703,1024.2
1704,1024.2
1705,1023.0
1706,1019.8
1707,1019.8
1708,1019.8
1709,1019.8
1710,1019.8
1711,1019.8
1712,1018.2
1713,1017.7
1714,1017.7
1715,1021.4
1716,1021.4
1717,1021.4
1718,1021.2
1719,1021.2
1720,1021.6
1721,1021.6
1722,1021.6
1723,1020.0
1724,1020.0
1725,1020.0
1726,1020.0
1727,1020.0
1728,1020.0
1729,1019.6
1730,1019.6
1731,1019.6
1732,1019.6
1733,1017.0
1734,1017.0
1735,1017.0
1736,1017.0
1737,1019.4
1738,1020.8
1739,1020.8
1740,1020.4
1741,1022.2
1742,1022.2
1743,1021.5
1744,1021.5
1745,1021.5
1746,1021.5
1747,1022.0
1748,1022.0
1749,1021.7
1750,1021.7
1751,1021.2
1752,1021.2
1753,1021.1
1754,1021.1
1755,1021.1
1756,1019.2
1757,1019.2
1758,1019.2
1759,1019.2
1760,1019.2
1761,1019.2
1762,1018.8
1763,1018.8
1764,1018.9
1765,1018.9
1766,1019.4
1767,1020.4
1768,1020.4
1769,1020.4
1770,1018.0
1771,1017.2
1772,1017.2
1773,1017.2
1774,1017.2
1775,1017.2
1776,1016.4
1777,1016.4
1778,1016.4
1779,1016.2
1780,1019.0
1781,1019.0
1782,1019.0
1783,1018.2
1784,1017.1
1785,1017.1
1786,1017.1
1787,1017.1
1788,1014.8
1789,1014.8
1790,1014.8
1791,1014.8
1792,1016.5
1793,1016.5
1794,1015.6
1795,1015.6
1796,1015.7
1797,1015.7
1798,1016.7
1799,1016.7
1800,1016.7
1801,1015.6
1802,1018.2
1803,1018.0
1804,1018.0
1805,1018.0
1806,1018.6
1807,1018.7
1808,1018.7
1809,1019.9
1810,1019.9
1811,1019.9
1812,1019.2
1813,1019.4
1814,1019.4
1815,1019.4
1816,1019.4
1817,1021.2
1818,1021.2
1819,1021.2
1820,1021.2
1821,1022.2
1822,1022.2
1823,1023.0
1824,1023.0
1825,1022.8
1826,1022.8
1827,1021.2
1828,1021.2
1829,1020.4
1830,1020.4
1831,1020.4
1832,1017.5
1833,1021.7
1834,1024.7
1835,1024.7
1836,1024.7
1837,1024.7
1838,1024.7
1839,1024.5
1840,1025.2
1841,1025.2
1842,1026.8
1843,1024.7
1844,1022.2
1845,1022.2
1846,1020.4
1847,1020.4
1848,1020.4
1849,1022.8
1850,1022.8
1851,1022.8
1852,1022.8
1853,1022.8
1854,1022.8
1855,1022.8
1856,1022.2
1857,1022.2
1858,1022.2
1859,1022.2
1860,1021.9
1861,1021.9
1862,1021.9
1863,1021.9
1864,1022.5999999999999
1865,1022.5999999999999
1866,1022.5999999999999
1867,1022.5999999999999
1868,1022.5999999999999
1869,1023.3
1870,1022.7
1871,1023.0
1872,1023.8
1873,1024.6
1874,1024.6
1875,1024.2
1876,1024.2
1877,1021.7
1878,1021.7
1879,1021.7
1880,1025.0
1881,1025.0
1882,1025.0
1883,1025.0
1884,1024.8
1885,1024.8
1886,1025.1
1887,1025.1
1888,1025.1
1889,1025.4
1890,1028.5
1891,1028.5
1892,1026.5
1893,1026.0
1894,1027.0
