UEC,PlayerAlgorithm_UEC,PlayerAlgorithm_Cash,customer_flow1_UEC,customer_flow1_Cash,customer_flow2_UEC,customer_flow2_Cash,rev_UEC,rev_Cash,whale_UEC,whale_Cash,market_maker_UEC,market_maker_Cash,Loop,Realisation_UEC,Sentiment_UEC
1008.6,0,0,69,-71095.50000000001,104,-105119.09999999998,0,0.0,0,0.0,-173,176214.59999999992,139,0.0,0.0
1008.6,0,0,69,-71095.50000000001,104,-105119.09999999998,0,0.0,0,0.0,-173,176214.59999999992,140,0.0,0.0
1008.6,0,0,69,-71095.50000000001,104,-105119.09999999998,0,0.0,0,0.0,-173,176214.59999999992,141,0.0,0.0
1004.5,0,0,-13,11317.699999999986,104,-105119.09999999998,0,0.0,0,0.0,-91,93801.39999999992,142,0.0,0.0
1004.7,0,0,-10,8298.199999999986,104,-105119.09999999998,0,0.0,0,0.0,-94,96820.89999999992,143,0.0,0.0
1004.7,0,0,-10,8298.199999999986,104,-105119.09999999998,0,0.0,0,0.0,-94,96820.89999999992,144,0.0,0.0
1002.4,0,0,-10,8298.199999999986,57,-58026.199999999975,0,0.0,0,0.0,-47,49727.99999999992,145,0.0,0.0
1002.4,0,0,-10,8298.199999999986,57,-58026.199999999975,0,0.0,0,0.0,-47,49727.99999999992,146,0.0,0.0
1001.2,0,0,-33,31304.399999999987,57,-58026.199999999975,0,0.0,0,0.0,-24,26721.79999999992,147,0.0,0.0
1000.6,0,0,-33,31304.399999999987,46,-47034.99999999997,0,0.0,0,0.0,-13,15730.599999999919,148,0.0,0.0
1000.6,0,0,-33,31304.399999999987,46,-47034.99999999997,0,0.0,0,0.0,-13,15730.599999999919,149,0.0,0.0
1002.0,0,0,-33,31304.399999999987,73,-74112.19999999997,0,0.0,0,0.0,-40,42807.799999999916,150,0.0,0.0
1002.0,0,0,-32,30300.399999999987,73,-74112.19999999997,0,0.0,0,0.0,-41,43811.799999999916,151,0.0,0.0
1002.0,0,0,-32,30300.399999999987,73,-74112.19999999997,0,0.0,0,0.0,-41,43811.799999999916,152,0.0,0.0
1001.8,0,0,-36,34300.39999999999,73,-74112.19999999997,0,0.0,0,0.0,-37,39811.799999999916,153,0.0,0.0
1001.8,0,0,-36,34300.39999999999,73,-74112.19999999997,0,0.0,0,0.0,-37,39811.799999999916,154,0.0,0.0
1001.8,0,0,-36,34300.39999999999,73,-74112.19999999997,0,0.0,0,0.0,-37,39811.799999999916,155,0.0,0.0
1003.8,0,0,-36,34300.39999999999,113,-114284.19999999997,0,0.0,0,0.0,-77,79983.79999999992,156,0.0,0.0
1005.1,0,0,-35,33294.599999999984,137,-138428.39999999997,0,0.0,0,0.0,-102,105133.79999999992,157,0.0,0.0
